InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
100000,S0861,Product 210,13,2019-09-28,34.81,45744,France
100001,S3773,Product 849,4,2019-05-02,46.98,34043,Spain
100002,S3093,Product 1652,1,2020-10-10,9.35,41044,United Kingdom
100003,S0467,Product 1917,18,2020-04-25,26.31,36267,Netherlands
100004,S4427,Product 3530,12,2020-09-04,34.99,15773,Australia
100005,S3445,Product 1919,10,2020-01-30,11.89,17783,Germany
100006,S3172,Product 577,8,2019-10-25,37.7,15226,Australia
100007,S2920,Product 689,3,2020-04-30,43.47,39233,Australia
100008,S0131,Product 790,7,2020-05-20,40.82,32217,France
100009,S1686,Product 1356,11,2019-07-10,13.32,26552,Germany
100010,S0770,Product 1688,7,2020-11-11,40.31,34206,Australia
100011,S2392,Product 350,7,2020-12-01,20.96,53977,Australia
100012,S2434,Product 2718,9,2019-06-07,13.69,37971,Netherlands
100013,S1185,Product 3540,3,2020-05-11,8.81,33338,France
100014,S4556,Product 4522,11,2020-12-15,45.49,48838,Germany
100015,S3386,Product 4423,17,2020-10-08,21.63,35392,Netherlands
100016,S4118,Product 1130,8,2020-01-06,43.35,16652,France
100017,S4844,Product 4351,2,2019-09-07,8.4,45664,Netherlands
100018,S2905,Product 4540,1,2019-11-10,38.47,25454,Australia
100019,S0475,Product 4209,16,2020-03-23,5.95,45224,France
100020,S1083,Product 4785,4,2019-04-25,1.37,29851,France
100021,S2559,Product 991,9,2020-01-12,49.75,25286,Australia
100022,S2048,Product 1874,8,2019-03-26,4.14,53822,Netherlands
100023,S2748,Product 4142,1,2020-02-10,23.35,45796,United Kingdom
100024,S0976,Product 4853,8,2020-01-04,43.98,41696,Germany
100025,S1807,Product 1377,5,2019-07-26,41.06,44882,United Kingdom
100026,S0190,Product 1227,1,2020-11-09,23.82,31190,Spain
100027,S2735,Product 564,7,2019-12-07,30.74,11888,Germany
100028,S3006,Product 2888,15,2020-07-06,31.67,33769,France
100029,S4659,Product 1341,7,2020-10-29,5.94,21475,Australia
100030,S1900,Product 3738,1,2020-05-17,14.6,10938,Germany
100031,S1268,Product 1438,9,2020-11-13,15.4,20660,Germany
100032,S1529,Product 95,1,2019-05-08,19.22,15279,Spain
100033,S3203,Product 3297,12,2020-03-23,14.06,13554,Australia
100034,S3557,Product 949,7,2019-05-14,12.95,44995,United Kingdom
100035,S3891,Product 4649,9,2020-09-18,18.06,25924,France
100036,S0647,Product 2693,5,2019-09-14,19.27,11277,Germany
100037,S2889,Product 4162,12,2019-01-15,24.62,35595,United Kingdom
100038,S2436,Product 3282,2,2020-10-24,9.09,33735,Spain
100039,S0601,Product 1498,18,2020-02-05,39.52,27223,United Kingdom
100040,S2364,Product 4761,9,2019-11-10,43.1,49297,Spain
100041,S2062,Product 2732,1,2019-11-23,12.78,28674,Australia
100042,S0242,Product 2744,10,2019-04-14,6.6,11955,Germany
100043,S2042,Product 4276,14,2020-05-26,36.25,47001,France
100044,S2825,Product 2882,14,2019-07-14,46.25,46187,United Kingdom
100045,S2613,Product 202,7,2019-04-08,2.24,16736,Spain
100046,S1364,Product 1499,12,2020-08-17,1.21,58893,France
100047,S1479,Product 3087,6,2019-10-13,9.58,34701,Germany
100048,S2557,Product 3114,13,2020-11-12,34.4,17374,United Kingdom
100049,S0776,Product 2591,8,2020-05-12,48.26,21665,Netherlands
100050,S4015,Product 1949,2,2020-09-14,37.64,46699,France
100051,S0035,Product 3605,10,2019-07-29,28.87,13838,United Kingdom
100052,S3153,Product 3964,6,2020-04-15,35.18,59409,Spain
100053,S1956,Product 694,16,2019-08-15,11.92,48015,Netherlands
100054,S1586,Product 1720,10,2019-07-20,34.58,57768,France
100055,S3944,Product 3934,15,2019-03-06,16.41,48528,Australia
100056,S3074,Product 3733,10,2020-10-11,11.51,36321,Australia
100057,S1022,Product 2660,11,2020-04-23,12.21,16820,Netherlands
100058,S3462,Product 1722,2,2019-01-14,33.56,24696,France
100059,S2614,Product 4052,10,2019-12-14,38.48,39220,Australia
100060,S3844,Product 2292,12,2019-04-21,29.3,22998,Germany
100061,S1501,Product 4200,11,2020-07-01,3.66,26753,Australia
100062,S4799,Product 2699,15,2020-04-16,2.38,30204,Spain
100063,S0162,Product 3375,4,2020-06-23,11.25,26073,Spain
100064,S4298,Product 1011,5,2019-09-17,14.68,11333,Germany
100065,S1982,Product 1042,1,2020-09-25,20.54,56125,France
100066,S0996,Product 1558,1,2020-08-03,4.26,10419,France
100067,S4912,Product 1208,10,2020-04-24,36.4,42374,Spain
100068,S3343,Product 1681,4,2019-05-25,35.72,34872,United Kingdom
100069,S4552,Product 3622,13,2020-01-11,17.66,38662,Australia
100070,S3799,Product 3353,14,2020-09-01,28.37,49777,France
100071,S1276,Product 1679,19,2020-01-13,5.5,37458,Germany
100072,S1017,Product 3597,5,2020-02-25,21.05,48781,Spain
100073,S0338,Product 2746,11,2020-03-21,42.95,10790,Germany
100074,S0879,Product 3546,8,2020-04-18,33.2,50106,Germany
100075,S1077,Product 2994,1,2019-04-24,5.65,34892,France
100076,S4888,Product 781,5,2020-11-01,42.46,29164,Australia
100077,S3994,Product 946,18,2019-08-08,34.19,26064,Germany
100078,S4860,Product 3429,13,2020-02-16,22.93,48402,Spain
100079,S0380,Product 3099,5,2019-06-30,34.76,57133,United Kingdom
100080,S0493,Product 548,7,2019-06-03,9.05,51103,Spain
100081,S2063,Product 2208,12,2019-03-27,27.75,15869,Netherlands
100082,S3885,Product 2985,2,2019-08-15,31.09,10829,Spain
